단지코드,총세대수,임대건물구분,지역,빈집,노선수,버스,area10,area20,area30,area40,area50,area60,area70,area80,area100,주차면수,등록차량수
C2515,545,아파트,경상남도,17.0,0.0,3.0,0,0,356,57,132,0,0,0,0,624.0,205.0
C1407,1216,아파트,대전광역시,13.0,1.0,1.0,0,0,390,702,124,0,0,0,0,1285.0,1064.0
C1945,755,아파트,경기도,6.0,1.0,3.0,0,0,240,0,515,0,0,0,0,734.0,730.0
C1470,696,아파트,전라북도,14.0,0.0,2.0,0,0,254,196,246,0,0,0,0,645.0,553.0
C1898,566,아파트,전라북도,9.0,0.0,6.0,0,0,271,209,86,0,0,0,0,517.0,415.0
C1244,1722,아파트,경기도,10.0,0.0,10.0,0,0,788,544,390,0,0,0,0,1483.0,1804.0
C1171,624,아파트,대전광역시,13.0,0.0,5.0,0,0,354,230,40,0,0,0,0,634.0,700.0
C2073,361,아파트,강원도,13.0,0.0,5.0,0,0,168,153,40,0,0,0,0,288.0,301.0
C2513,754,아파트,광주광역시,15.0,0.0,6.0,0,0,0,0,754,0,0,0,0,530.0,820.0
C1936,240,아파트,광주광역시,8.0,0.0,10.0,0,0,0,0,240,0,0,0,0,168.0,234.0
C2049,688,아파트,강원도,0.0,0.0,5.0,0,0,0,0,688,0,0,0,0,631.0,841.0
C2202,623,아파트,강원도,0.0,0.0,2.0,0,0,89,534,0,0,0,0,0,222.0,226.0
C1925,601,아파트,강원도,9.0,0.0,4.0,0,298,301,0,0,0,1,0,0,117.0,75.0
C2576,405,아파트,경상남도,19.0,0.0,4.0,0,0,0,313,92,0,0,0,0,296.0,73.0
C1312,518,아파트,충청남도,12.0,0.0,3.0,0,0,149,368,0,0,0,0,0,527.0,359.0
C1874,619,아파트,충청남도,2.0,0.0,2.0,3,459,151,3,3,0,0,0,0,97.0,62.0
C2650,875,아파트,부산광역시,13.0,0.0,4.0,0,0,557,318,0,0,0,0,0,616.0,159.0
C2416,560,아파트,경상남도,0.0,0.0,5.0,1,361,194,2,1,0,0,0,1,154.0,63.0
C2013,595,아파트,경상남도,3.0,0.0,3.0,0,0,327,267,0,0,0,0,0,509.0,91.0
C1424,625,아파트,대전광역시,2.0,0.0,7.0,0,0,268,356,0,0,0,0,0,517.0,179.0
C2100,880,아파트,대전광역시,4.0,0.0,5.0,0,0,0,0,880,0,0,0,0,736.0,671.0
C2621,1396,아파트,대전광역시,26.0,1.0,4.0,0,1071,306,0,17,1,0,0,1,277.0,133.0
C2520,970,아파트,대전광역시,2.0,0.0,2.0,0,0,960,0,0,0,0,0,0,420.0,386.0
C2319,606,아파트,대전광역시,1.0,1.0,12.0,0,0,0,0,605,0,0,0,0,548.0,266.0
C1616,1507,아파트,대전광역시,1.0,0.0,2.0,0,588,463,450,3,0,1,0,2,407.0,98.0
C1704,639,아파트,대전광역시,34.0,0.0,7.0,0,0,638,0,0,0,0,0,1,162.0,131.0
C2258,965,아파트,대전광역시,13.0,0.0,3.0,3,596,184,180,1,0,0,0,1,287.0,78.0
C1032,946,아파트,대전광역시,6.0,1.0,2.0,0,0,68,69,809,0,0,0,0,986.0,316.0
C2038,785,아파트,대전광역시,7.0,1.0,10.0,3,596,94,90,1,0,0,0,1,150.0,108.0
C1859,2424,아파트,대전광역시,1.0,1.0,4.0,0,1885,505,0,31,0,1,0,2,487.0,116.0
C1722,809,아파트,강원도,1.0,0.0,6.0,0,149,243,416,0,0,1,0,0,264.0,649.0
C1850,388,아파트,경상남도,0.0,0.0,4.0,0,0,89,296,0,0,0,0,0,226.0,254.0
C2190,1013,아파트,경상남도,7.0,0.0,2.0,3,857,151,2,0,0,0,0,0,178.0,129.0
C1476,453,아파트,경상남도,6.0,0.0,5.0,0,298,154,0,0,0,1,0,0,107.0,70.0
C1077,861,아파트,경상남도,21.0,0.0,5.0,0,0,258,277,326,0,0,0,0,612.0,236.0
C1068,806,아파트,충청남도,11.0,0.0,2.0,0,0,330,384,91,0,0,0,0,804.0,510.0
C1983,903,아파트,충청남도,3.0,0.0,4.0,0,478,423,0,0,1,0,0,1,200.0,253.0
C2135,1116,아파트,부산광역시,10.0,1.0,3.0,3,661,450,0,1,0,0,0,1,262.0,127.0
C2034,1486,아파트,부산광역시,2.0,1.0,3.0,3,724,756,0,1,0,1,0,1,405.0,132.0
C1109,1957,아파트,부산광역시,1.0,1.0,2.0,0,1503,452,0,1,0,0,0,1,351.0,313.0
C1497,802,아파트,부산광역시,7.0,1.0,14.0,0,0,802,0,0,0,0,0,0,375.0,382.0
C2289,1527,아파트,부산광역시,2.0,0.0,3.0,0,970,550,0,5,0,1,0,1,240.0,364.0
C2597,1005,아파트,부산광역시,25.0,0.0,2.0,3,757,239,2,3,0,0,0,1,166.0,94.0
C2310,1988,아파트,부산광역시,1.0,0.0,2.0,0,1670,311,0,5,0,1,0,1,217.0,189.0
C1672,1350,아파트,부산광역시,15.0,0.0,1.0,0,0,0,0,1350,0,0,0,0,1043.0,873.0
C2132,2428,아파트,부산광역시,1.0,0.0,1.0,5,1560,854,1,5,0,1,0,2,756.0,359.0
C1439,1755,아파트,부산광역시,29.0,1.0,3.0,10,1489,131,122,0,1,0,0,2,270.0,172.0
C1613,840,아파트,부산광역시,7.0,1.0,1.0,0,0,0,0,840,0,0,0,0,594.0,498.0
C2216,390,아파트,충청남도,2.0,0.0,1.0,0,0,390,0,0,0,0,0,0,97.0,149.0
C1899,451,아파트,경상남도,0.0,0.0,4.0,0,298,153,0,0,0,0,0,0,109.0,31.0
C1056,410,아파트,제주특별자치도,0.0,0.0,10.0,0,200,210,0,0,0,0,0,0,120.0,125.0
C2644,779,아파트,충청남도,7.0,0.0,12.0,0,388,387,3,0,0,0,0,0,190.0,177.0
C1206,755,아파트,강원도,1.0,0.0,4.0,0,239,247,0,0,1,0,0,1,88.0,90.0
C2481,693,아파트,울산광역시,2.0,0.0,2.0,0,0,435,258,0,0,0,0,0,486.0,302.0
C1718,753,아파트,울산광역시,23.0,0.0,2.0,0,0,0,566,187,0,0,0,0,682.0,496.0
C1655,498,아파트,강원도,23.0,0.0,6.0,0,0,88,268,142,0,0,0,0,402.0,236.0
C1430,1533,아파트,부산광역시,32.0,0.0,3.0,0,0,0,0,1533,0,0,0,0,1296.0,839.0
C1775,711,아파트,제주특별자치도,5.0,0.0,8.0,0,360,350,0,0,0,0,0,1,131.0,96.0
C1519,420,아파트,제주특별자치도,0.0,0.0,0.0,0,0,252,168,0,0,0,0,0,393.0,235.0
C2221,590,아파트,제주특별자치도,1.0,0.0,3.0,0,0,0,590,0,0,0,0,0,376.0,359.0
C1790,657,아파트,경상남도,2.0,0.0,4.0,4,261,388,1,1,0,0,1,1,166.0,120.0
C2109,495,아파트,경상남도,2.0,0.0,4.0,0,288,206,0,0,0,0,0,1,117.0,60.0
C1698,460,아파트,경상남도,1.0,0.0,3.0,0,0,460,0,0,0,0,0,0,155.0,65.0
C1866,338,아파트,경상남도,1.0,0.0,3.0,0,0,231,107,0,0,0,0,0,235.0,135.0
C1005,1144,아파트,충청남도,16.0,0.0,8.0,0,0,0,0,1144,0,0,0,0,950.0,376.0
C1004,521,아파트,충청남도,3.0,0.0,2.0,3,8,508,0,1,0,0,0,1,153.0,93.0
C1875,1003,아파트,충청남도,5.0,0.0,8.0,3,846,152,0,1,0,0,0,1,192.0,209.0
C2156,306,아파트,충청남도,0.0,0.0,1.0,0,0,240,0,65,0,0,0,0,246.0,204.0
C2212,697,아파트,강원도,0.0,0.0,4.0,0,298,394,0,0,4,0,0,1,128.0,86.0
C2401,213,아파트,강원도,21.0,0.0,3.0,0,0,65,104,44,0,0,0,0,164.0,19.0
C2571,481,아파트,경상남도,5.0,0.0,1.0,0,468,12,0,0,0,0,0,1,65.0,62.0
C1175,468,아파트,충청남도,15.0,0.0,2.0,0,0,0,198,270,0,0,0,0,477.0,430.0
C1833,1364,아파트,제주특별자치도,19.0,0.0,5.0,0,0,802,342,220,0,0,0,0,1505.0,1001.0
C2445,800,아파트,충청북도,16.0,0.0,4.0,0,0,522,135,143,0,0,0,0,671.0,334.0
C1885,830,아파트,전라남도,14.0,0.0,4.0,0,0,498,332,0,0,0,0,0,802.0,616.0
C2368,775,아파트,전라남도,10.0,0.0,4.0,0,0,465,0,310,0,0,0,0,738.0,548.0
C2016,261,아파트,충청북도,15.0,0.0,2.0,0,0,128,133,0,0,0,0,0,198.0,220.0
C2371,474,아파트,경상북도,20.0,0.0,1.0,0,0,264,164,46,0,0,0,0,374.0,451.0
C2536,72,아파트,전라북도,7.0,0.0,1.0,0,0,48,24,0,0,0,0,0,54.0,47.0
C2538,1473,아파트,경기도,13.0,0.0,3.0,0,188,706,296,283,0,0,0,0,1299.0,799.0
C1014,996,아파트,전라북도,5.0,0.0,2.0,0,0,516,280,200,0,0,0,0,823.0,708.0
C1592,870,아파트,강원도,13.0,0.0,5.0,0,0,528,206,136,0,0,0,0,763.0,739.0
C1867,678,아파트,경상남도,26.0,0.0,2.0,0,0,454,84,140,0,0,0,0,579.0,374.0
C2326,632,아파트,충청북도,15.0,0.0,4.0,0,0,458,174,0,0,0,0,0,478.0,557.0
C1015,961,아파트,부산광역시,28.0,0.0,3.0,0,0,475,380,106,0,0,0,0,928.0,579.0
C1620,1232,아파트,광주광역시,22.0,0.0,4.0,0,0,709,523,0,0,0,0,0,1181.0,1101.0
C1049,676,아파트,광주광역시,18.0,0.0,3.0,0,0,389,0,287,0,0,0,0,658.0,762.0
C2000,1300,아파트,경상남도,21.0,0.0,2.0,0,0,450,700,150,0,0,0,0,1082.0,795.0
C2097,998,아파트,경상북도,29.0,0.0,2.0,0,0,551,359,88,0,0,0,0,1240.0,995.0
C1668,493,아파트,전라남도,7.0,0.0,4.0,0,0,221,152,120,0,0,0,0,421.0,288.0
C1689,1117,아파트,경기도,4.0,1.0,3.0,0,186,444,339,148,0,0,0,0,985.0,960.0
C1234,307,아파트,강원도,1.0,0.0,2.0,0,0,0,0,307,0,0,0,0,219.0,311.0
C2514,501,아파트,경상남도,10.0,0.0,1.0,0,0,0,224,277,0,0,0,0,405.0,648.0
C1368,896,아파트,경상북도,29.0,0.0,10.0,0,0,176,180,540,0,0,0,0,900.0,861.0
C1057,521,아파트,경상북도,24.0,0.0,4.0,0,0,134,135,252,0,0,0,0,521.0,521.0
C2336,458,아파트,경상북도,13.0,0.0,2.0,0,0,172,230,56,0,0,0,0,399.0,562.0
C1026,290,아파트,경상북도,10.0,0.0,2.0,0,0,0,0,290,0,0,0,0,205.0,422.0
C2256,409,아파트,경상남도,7.0,0.0,1.0,0,88,131,132,58,0,0,0,0,316.0,344.0
C1900,586,아파트,전라북도,2.0,0.0,2.0,0,0,236,206,144,0,0,0,0,472.0,596.0
C2666,1084,아파트,부산광역시,23.0,0.0,1.0,0,0,458,626,0,0,0,0,0,837.0,701.0
C2361,1174,아파트,경기도,9.0,0.0,4.0,0,0,422,382,370,0,0,0,0,1026.0,1117.0
C1642,270,아파트,전라남도,14.0,0.0,6.0,0,0,120,150,0,0,0,0,0,222.0,297.0
C1013,1308,아파트,광주광역시,16.0,0.0,6.0,0,0,291,757,260,0,0,0,0,1119.0,1665.0
C2232,355,아파트,광주광역시,13.0,0.0,3.0,0,0,114,96,145,0,0,0,0,354.0,248.0
C1973,384,아파트,광주광역시,15.0,0.0,3.0,0,0,84,0,300,0,0,0,0,384.0,457.0
C2458,853,아파트,광주광역시,28.0,0.0,3.0,0,0,0,551,302,0,0,0,0,853.0,910.0
C2574,996,아파트,광주광역시,14.0,0.0,6.0,0,0,444,390,162,0,0,0,0,895.0,826.0
C2133,355,아파트,광주광역시,10.0,0.0,3.0,0,0,128,143,84,0,0,0,0,330.0,328.0
C2096,492,아파트,광주광역시,11.0,0.0,2.0,0,0,248,244,0,0,0,0,0,347.0,525.0
C2010,861,아파트,광주광역시,15.0,0.0,3.0,0,0,498,363,0,0,0,0,0,608.0,690.0
C1879,711,아파트,광주광역시,12.0,0.0,2.0,0,0,0,355,356,0,0,0,0,573.0,713.0
C1131,901,아파트,광주광역시,10.0,0.0,7.0,0,0,0,0,901,0,0,0,0,668.0,1019.0
C1468,815,아파트,광주광역시,17.0,0.0,1.0,0,0,503,312,0,0,0,0,0,574.0,810.0
C1213,312,아파트,전라북도,8.0,0.0,6.0,0,0,177,135,0,0,0,0,0,224.0,148.0
C1173,571,아파트,충청남도,7.0,0.0,2.0,0,0,98,401,72,0,0,0,0,483.0,609.0
C2492,594,아파트,경상북도,23.0,0.0,5.0,0,0,120,0,474,0,0,0,0,480.0,585.0
C2032,944,아파트,경상남도,23.0,0.0,1.0,0,0,0,0,944,0,0,0,0,958.0,1162.0
C2094,410,아파트,경상남도,16.0,0.0,20.0,0,0,223,187,0,0,0,0,0,402.0,318.0
C1880,635,아파트,경상남도,15.0,0.0,20.0,0,0,0,0,635,0,0,0,0,508.0,761.0
C2089,962,아파트,경상남도,27.0,0.0,1.0,0,0,473,129,360,0,0,0,0,873.0,572.0
C1744,822,아파트,경기도,13.0,0.0,2.0,0,0,0,0,822,0,0,0,0,827.0,979.0
C2046,1129,아파트,경기도,10.0,0.0,4.0,0,0,0,446,683,0,0,0,0,1137.0,1306.0
C2071,1479,아파트,경기도,21.0,0.0,3.0,0,0,266,793,420,0,0,0,0,1488.0,1398.0
C2635,330,아파트,경기도,1.0,0.0,3.0,0,0,0,0,330,0,0,0,0,259.0,442.0
