,항목,승용,승합,화물,특수
0,2015계,16561665,920320,3432937,74963
1,2015관용,27004,19079,29052,2422
2,2015자가용,15807517,776127,3020822,18103
3,2015영업용,727144,125114,383063,54438
4,2016계,17338160,892539,3492173,80479
5,2016관용,27750,20260,29834,2532
6,2016자가용,16505364,746360,3072915,20670
7,2016영업용,805046,125919,389424,57277
8,2017계,18034540,867522,3540323,85910
9,2017관용,30705,21556,30813,2687
10,2017자가용,17121786,720188,3118342,23942
11,2017영업용,882049,125778,391168,59281
12,2018계,18676924,843794,3590939,90898
13,2018관용,32819,22540,31957,2784
14,2018자가용,17663188,696898,3152275,27212
15,2018영업용,980917,124356,406707,60902
16,2019계,19177517,811799,3592586,95464
17,2019관용,33344,23014,33072,2867
18,2019자가용,18071723,663494,3143102,30043
19,2019영업용,1072450,125291,416412,62554
20,2020계,19860955,783842,3615245,105937
21,2020관용,33619,23938,33391,3009
22,2020자가용,18686570,639504,3156602,39010
23,2020영업용,1140766,120400,425252,63918
24,2021계,20410648,749968,3631975,118510
25,2021관용,34548,24460,33800,3141
26,2021자가용,19168262,608894,3159844,49733
27,2021영업용,1207838,116614,438331,65636
