,단지코드,총세대수,임대건물구분,지역,전용면적,전용면적별세대수,빈집,임대료,노선수,버스,주차면수,등록차량수
8,C2515,545,아파트,경상남도,33.48,276,17.0,82940,0.0,3.0,624.0,205.0
9,C2515,545,아파트,경상남도,39.6,60,17.0,107130,0.0,3.0,624.0,205.0
10,C2515,545,아파트,경상남도,39.6,20,17.0,107130,0.0,3.0,624.0,205.0
11,C2515,545,아파트,경상남도,46.9,38,17.0,149760,0.0,3.0,624.0,205.0
12,C2515,545,아파트,경상남도,46.9,19,17.0,149760,0.0,3.0,624.0,205.0
13,C2515,545,아파트,경상남도,51.97,106,17.0,190090,0.0,3.0,624.0,205.0
14,C2515,545,아파트,경상남도,51.97,26,17.0,190090,0.0,3.0,624.0,205.0
15,C1407,1216,아파트,대전광역시,30.95,288,13.0,127350,1.0,1.0,1285.0,1064.0
16,C1407,1216,아파트,대전광역시,30.99,68,13.0,127350,1.0,1.0,1285.0,1064.0
17,C1407,1216,아파트,대전광역시,30.99,34,13.0,127350,1.0,1.0,1285.0,1064.0
18,C1407,1216,아파트,대전광역시,41.11,148,13.0,164610,1.0,1.0,1285.0,1064.0
19,C1407,1216,아파트,대전광역시,41.39,74,13.0,164610,1.0,1.0,1285.0,1064.0
20,C1407,1216,아파트,대전광역시,41.58,70,13.0,164610,1.0,1.0,1285.0,1064.0
21,C1407,1216,아파트,대전광역시,41.58,70,13.0,164610,1.0,1.0,1285.0,1064.0
22,C1407,1216,아파트,대전광역시,46.36,170,13.0,198250,1.0,1.0,1285.0,1064.0
23,C1407,1216,아파트,대전광역시,46.36,170,13.0,198250,1.0,1.0,1285.0,1064.0
24,C1407,1216,아파트,대전광역시,51.24,62,13.0,253520,1.0,1.0,1285.0,1064.0
25,C1407,1216,아파트,대전광역시,51.24,62,13.0,253520,1.0,1.0,1285.0,1064.0
26,C1945,755,아파트,경기도,39.72,120,6.0,130070,1.0,3.0,734.0,730.0
27,C1945,755,아파트,경기도,39.72,120,6.0,130070,1.0,3.0,734.0,730.0
28,C1945,755,아파트,경기도,51.93,207,6.0,193230,1.0,3.0,734.0,730.0
29,C1945,755,아파트,경기도,51.93,96,6.0,193230,1.0,3.0,734.0,730.0
30,C1945,755,아파트,경기도,59.88,160,6.0,244020,1.0,3.0,734.0,730.0
31,C1945,755,아파트,경기도,59.88,52,6.0,244020,1.0,3.0,734.0,730.0
